id,name,display_name,set_name,number,edition,year,remarks,rarity,artwork,image_url,market_price,pokemontcg_id,tcgplayer_product_id,tcgplayer_url
pk-0001,Pikachu,Pikachu — Base Set 58/102,Base Set,58/102,Unlimited,1998,Shadowless yellow cheeks,Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/0274c505e8000ad3f92669113e24b292166030512a6913df1c8a86ef3f0b7446/1600.jpg,13.39,base1-58,42402,https://www.tcgplayer.com/product/42402
pk-0002,Pikachu,Pikachu — Base Set 58/102,Base Set,58/102,1st Edition,1999,Shadowless thick 2D 1st red cheeks,Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/4ef4f1528983a493497b79910f130a551590fd77f3baf490d02ab59ce6880bb6/1600.jpg,13.39,base1-58,42402,https://www.tcgplayer.com/product/42402
pk-0003,Pikachu,Pikachu — Base Set 58/102,Base Set,58/102,Unlimited,1999,Shadowless red cheeks,Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/47396a6a09d20c3b4efe6f874fc6092edbf0de01402a45b002b8f3ffa3cc9302/1600.jpg,13.39,base1-58,42402,https://www.tcgplayer.com/product/42402
pk-0004,Pikachu,Pikachu — Base Set 58/102,Base Set,58/102,Unlimited,1999,E3 red cheeks - Graded MAP-9+,Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/5122b59bf6461d7a34fce34aa6476e8b349a742c17efdfb002a72293362322e9/1600.jpg,13.39,base1-58,42402,https://www.tcgplayer.com/product/42402
pk-0005,Pikachu,Pikachu — Base Set 58/102,Base Set,58/102,Unlimited,1999,E3 yellow cheeks,Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/21a7c9efe8d0feb97e45c45dd208ddc6d043c81d7aa0a8e39fb9dadd26a1d721/1600.jpg,13.39,base1-58,42402,https://www.tcgplayer.com/product/42402
pk-0006,Pikachu,Pikachu — Base Set 58/102,Base Set,58/102,Unlimited,1999,PokéTour 1999,Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/870a2da4a4faa706fc8266c92dae55b1518b4975c006499ffaccabec9437d055/1600.jpg,13.39,base1-58,42402,https://www.tcgplayer.com/product/42402
pk-0007,Pikachu,Pikachu — Base Set 58/102,Base Set,58/102,Unlimited,1999,Semi-Glossy front,Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/edi66k3j3htnzmqn/1600.jpg,13.39,base1-58,42402,https://www.tcgplayer.com/product/42402
pk-0008,Pikachu,Pikachu — Base Set 58/102,Base Set,58/102,Unlimited,2000,1999-2000,Common,Base Set,https://storage.googleapis.com/images.pricecharting.com/fanjzm63oyk6dums/1600.jpg,13.39,base1-58,42402,https://www.tcgplayer.com/product/42402
pk-0009,Pikachu,Pikachu — Base Set 2 87/130,Base Set 2,87/130,Unlimited,2000,,Common,Base Set,https://images.pokemontcg.io/base4/87_hires.png,3.05,base4-87,42538,https://www.tcgplayer.com/product/42538
pk-0010,Pikachu,Pikachu — Evolutions 35/108,Evolutions,35/108,,2016,,Common,Base Set,https://images.pokemontcg.io/xy12/35_hires.png,1.09,xy12-35,124048,https://www.tcgplayer.com/product/124048
